id,symbol,frequency,open,high,low,close,volume,amount,pre_close,bob,eob,position
380,SHSE.600000,1d,8.5183,8.6228,8.4632,8.5953,85154364,1320992960.0,8.5568,2015-08-04 00:00:00+08:00,2015-08-04 00:00:00+08:00,0
381,SHSE.600000,1d,8.5843,8.6063,8.4027,8.4247,58185882,899150924.0,8.5953,2015-08-05 00:00:00+08:00,2015-08-05 00:00:00+08:00,0
382,SHSE.600000,1d,8.3422,8.5678,8.3312,8.4632,65377995,1007550209.0,8.4247,2015-08-06 00:00:00+08:00,2015-08-06 00:00:00+08:00,0
383,SHSE.600000,1d,8.5733,8.6063,8.4688,8.5128,65302258,1014250620.0,8.4632,2015-08-07 00:00:00+08:00,2015-08-07 00:00:00+08:00,0
384,SHSE.600000,1d,8.5018,8.7274,8.4467,8.6834,116938205,1823776978.0,8.5128,2015-08-10 00:00:00+08:00,2015-08-10 00:00:00+08:00,0
385,SHSE.600000,1d,8.6393,8.6669,8.5348,8.5678,105104123,1642256846.0,8.6834,2015-08-11 00:00:00+08:00,2015-08-11 00:00:00+08:00,0
386,SHSE.600000,1d,8.4743,8.5843,8.4632,8.4688,79184358,1225370347.0,8.5678,2015-08-12 00:00:00+08:00,2015-08-12 00:00:00+08:00,0
387,SHSE.600000,1d,8.5128,8.5623,8.4137,8.5018,74034209,1141661419.0,8.4688,2015-08-13 00:00:00+08:00,2015-08-13 00:00:00+08:00,0
388,SHSE.600000,1d,8.5128,8.5513,8.4577,8.5238,66356010,1025758702.0,8.5018,2015-08-14 00:00:00+08:00,2015-08-14 00:00:00+08:00,0
389,SHSE.600000,1d,8.4798,8.4798,8.3752,8.4302,120892083,1851641790.0,8.5238,2015-08-17 00:00:00+08:00,2015-08-17 00:00:00+08:00,0
390,SHSE.600000,1d,8.4467,8.5403,8.1606,8.1826,198445221,3032249668.0,8.4302,2015-08-18 00:00:00+08:00,2015-08-18 00:00:00+08:00,0
391,SHSE.600000,1d,8.1826,8.3477,7.979,8.2541,199062097,2952584751.0,8.1826,2015-08-19 00:00:00+08:00,2015-08-19 00:00:00+08:00,0
