code,name,high,low,close,volume,amount,chg,turn,m_value,s_capital,pe,pb,ps,pm,vol,turn_std
600031.SH,三一重工,0.26070125702935043,0.27185808785050736,0.2714636611780032,0.16586510581829889,0.1592605217580772,-0.09233013937282233,1.2954496515679448,193517010242.96844,8489855680.062717,22.728455400696863,3.163705400696862,1.9483912891986053,-250.4913466898956,0.6697726802331471,0.7590135542652332
600036.SH,招商银行,0.5716121572759635,0.5669162230310794,0.5629682781724827,0.19729119151072863,0.19097742256889472,-0.00852456445993029,0.32346707317073126,1112150375250.5923,25219845601.0,9.732048432055745,1.5651437282229947,3.575525609756097,-13.975896167247397,0.6692240454830386,0.1542835339371114
600037.SH,歌华有线,0.3491116906353191,0.37752274427532767,0.33818269349061425,0.12053748571508935,0.10356297355116602,0.018017247386759572,1.3296968641114977,12082232335.21659,1391777884.0,66.13942404181186,0.9422595818815327,4.751530836236937,30.542576132404168,0.6727880215127622,1.1039799632340528
600038.SH,中直股份,0.3579054917745965,0.3663043847356053,0.35775516110760797,0.18019054599995585,0.1644461288971111,-0.03771631205673763,1.504525709219859,30296312594.542355,589476716.0,47.3429617021277,3.2838553191489352,1.485054787234043,0.8032634751773015,0.6688670233357318,0.8809830577996643
600048.SH,保利发展,0.553089799880194,0.5604689514107104,0.547697598842545,0.16237060005251244,0.15578331336699924,0.02551742160278741,0.7145766550522653,178886769004.63232,11970062116.003485,6.852721080139374,1.0547412891986065,0.6703952961672469,19.531021080139386,0.6705331966444997,0.3486020704726694
600050.SH,中国联通,0.26222131323075615,0.28327628564068746,0.2800305286066223,0.13204877431578055,0.11012296742362401,0.0503470383275261,0.6040789198606268,130684643010.69855,31166924760.649826,20.17261777003485,0.8630496515679447,0.405744947735191,0.9272621951219495,0.68009160459059,0.6929628503233959
600056.SH,中国医药,0.1991108661891771,0.24213208943213368,0.21792065298150098,0.1290720582689798,0.07318615973287947,0.11979181184668991,3.3235696864111484,18153122471.374542,1231550573.836237,23.71049233449478,1.728977526132406,0.48547735191637675,-2.2777048780487807,0.672052253561218,4.627202625470358
600058.SH,五矿发展,0.3639552719284957,0.3669752878069551,0.34656093340398864,0.10333225007332243,0.08077572743228738,0.09165749128919863,1.3307594076655052,9641780822.237099,1071910711.0,23.688839372822304,2.0835648083623655,0.12555818815331024,-7.554807839721248,0.6735597428866908,1.378602945168106
600060.SH,海信视像,0.26573851842241814,0.2949833773255737,0.28070211235697157,0.13151837813222886,0.14594935007820972,0.1456357142857144,1.2192026132404183,17586275360.36136,1308185784.71777,13.643262891986065,1.0911649825783982,0.40633048780487796,-9.516368989547038,0.6713917838648106,0.8083836510843438
600061.SH,国投资本,0.3741678286656097,0.4364387306323916,0.41541165036840605,0.08736346938496868,0.08503030877932183,-0.009358188153310078,0.4853506968641113,47953731704.45931,6007879093.210801,12.139814808362386,1.0641940766550535,3.096246341463411,5.791349128919859,0.6751546879919338,0.38037881695579906
600062.SH,华润双鹤,0.224720103852273,0.23227060768254004,0.23603441959959362,0.14292276583275493,0.08702489218944318,0.14222090592334516,2.474257142857143,16950527960.238686,1043223282.4738677,16.59303449477351,1.7323510452961666,1.889456445993032,35.70568449477346,0.6699347908844581,3.0900767176370523
600066.SH,宇通客车,0.3555255331438796,0.4126662398251497,0.37092176553859424,0.09130618791292933,0.1127437839805075,0.005594938917975612,1.1253781849912754,23659214673.9536,2235827446.3856893,40.324716753926715,1.6184356020942388,1.0656591623036649,-7.8167748691099534,0.673431922476767,0.9527086035887075
600068.SH,葛洲坝(退市),0.2807669987052477,0.3353277190589015,0.29633083134627936,0.14435549734664418,0.11930598295325501,0.2752567901234567,0.934553086419753,34259828190.799255,4604777412.0,7.501542592592589,1.025611728395062,0.30423209876543217,9.86599567901235,0.6766739388802281,0.7299094963188942
600073.SH,上海梅林,0.32534033877191243,0.36172999086000346,0.3484745380692817,0.1456283795276082,0.1484300484643139,-0.02739407665505227,1.4107304878048776,7525654758.05882,937729472.0,19.93706951219514,1.6721714285714289,0.3143388501742157,-6.904890766550521,0.6741733224514945,0.9763258111525192
600079.SH,人福医药,0.45791165445793974,0.4630657343565839,0.45570456961358535,0.14178023282569552,0.16405241713980445,-0.010037804878048862,1.5317479094076671,37243779385.04767,1629416896.0400696,26.193591463414663,2.9285080139372814,1.7811637630662007,-77.09244668989538,0.6693592295066357,1.0523394736184646
600085.SH,同仁堂,0.4468780813303891,0.4456630149779297,0.44804340727844877,0.1454716019184128,0.11777487801469166,0.19481533101045292,1.1781540069686416,56478698447.81905,1371470262.0,46.15926550522648,5.265844076655049,4.009770905923347,50.29091637630657,0.6685095681244205,0.8500142846000036
600089.SH,特变电工,0.4758345496406787,0.4915163339137074,0.46911231212077537,0.16341497281912723,0.11969564638856017,0.19630905923344952,2.678944773519161,74780075061.44096,3789524407.3519163,12.318803832752616,1.824023693379789,1.3077609756097568,1307.795799477352,0.6704529890918671,2.053845569116365
600098.SH,广州发展,0.2673127755228288,0.3378153874820923,0.27473895712923896,0.14878225873564455,0.13867781970797893,0.02533797909407664,0.5994212543554005,20209817524.88279,3199243904.7665505,37.66728954703828,0.9791003484320564,0.5542881533101047,-4.486100000000005,0.6759040670611255,0.4748832738377398
600100.SH,同方股份,0.2431222553638796,0.26150032328747436,0.258701719312275,0.08393781784694049,0.060887488149973704,0.0801672473867596,1.382013240418118,17871974020.25145,3245283415.3135886,-5.244587108013936,1.1249799651567949,0.67835087108014,-21.897397212543577,0.6768421296077501,2.154918762947439
600104.SH,上汽集团,0.316831264631637,0.33983555410546773,0.331776044142834,0.1588544549345896,0.1289873144231001,-0.07235609756097568,0.3078567944250872,210302508114.62332,11683461365.0,9.74741759581882,0.7789827526132411,0.27797839721254336,35.976102264808375,0.671085249477226,0.2097423787885113
600111.SH,北方稀土,0.4078649185744703,0.4137588143068328,0.4030728922136903,0.21567495966689618,0.19203381549161,0.17701585365853664,3.0361862369338026,117900381716.41954,3630149598.0940766,45.738029790940764,8.421041114982584,4.511857665505225,49.179967944250855,0.668988889236341,2.178360462049387
600115.SH,中国东航,0.4045120977945615,0.43797708001852936,0.4154419636774176,0.13379396755104217,0.13114903643527137,0.027402613240418153,0.3653439024390243,93743444958.30501,18475862262.397213,-6.330589024390249,2.543872125435539,1.5955271777003486,17.16246550522649,0.6764901302362365,0.22792240609493
600118.SH,中国卫星,0.40262260053735044,0.43176716081111227,0.4254824952054486,0.08727078627624556,0.0767609002189891,-0.0015951219512195579,1.3060311846689892,30355402533.114468,1182489135.0,99.09470017421602,5.018423170731706,4.215688153310108,22.224648780487794,0.6701618339207575,1.480925608269457
600123.SH,兰花科创,0.49111764631889515,0.49322406812805514,0.4841962321200467,0.26686099879805336,0.21402706692708928,0.20555034843205558,3.1551008710801436,13019080975.609756,1142400000.0,11.168292857142857,0.9916987804878049,1.283023693379789,-6.152398780487819,0.6712371675842901,1.9642624856983226
600132.SH,重庆啤酒,0.37711044118720777,0.3774752259396978,0.3788210913637589,0.25014061387971825,0.19963147061941441,0.00973466898954701,0.8140292682926835,63934762165.1708,483971198.0,52.275789024390264,45.56515958188153,5.289454006968646,170.940343031359,0.6673722620494639,0.3238566318450796
600138.SH,中青旅,0.34726212098747106,0.3830685216093425,0.34405713504914154,0.17795312787765077,0.16097154121911797,0.06685487804878043,3.058915679442508,8517112540.76655,723840000.0,-97.49554146341457,1.3607057491289198,1.1321651567944249,-29.435626306620218,0.6707292719520268,1.9967549355475016
600150.SH,中国船舶,0.42581899816038055,0.43723244045495213,0.43910089361915167,0.17002024424439638,0.13803117439941526,0.13249320557491281,2.0572114982578404,94357728015.36223,4472428758.0,261.66871655052233,2.033481010452961,1.6296358885017408,28.60824808362367,0.6695862555603149,1.3163177787551377
600151.SH,航天机电,0.4335004059157813,0.43389666558625717,0.4264014597035236,0.15251003760270185,0.1509408474562854,0.04397090592334489,1.3884616724738688,14303043451.647038,1434252287.0,110.62644181184658,2.674092682926831,2.211930662020903,123.30435731707331,0.6736607011114882,0.9977637541369445
600155.SH,华创阳安,0.37882789908753717,0.3843091601810542,0.37904811782561315,0.16273495860815645,0.12207912240382014,-0.09770470383275266,1.21144425087108,16283926138.99887,1853203641.466899,24.501366376306674,1.0340489547038312,5.046068641114981,3.7323829268292874,0.6746187265255802,0.870003092626574
